Date,Time,District Description,Address,City,State,Zip Code,Event Type,Confirmation?
10/31 - 11/16,NA,NJ,3504 Bergenline Ave,Union City,NJ,7087,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,6815 Bergenline Ave,Guttenberg,NJ,7093,Exclusive Saving - Limited-time Offer.,
,,,,,,,,
12/6/2025,12pm - 2pm,,694 Main Ave,Passaic,NJ,7055,Photos with Santa,
12/6/2025,4pm - 6pm,,136 Main St,Paterson,NJ,7505,Photos with Santa,
12/6/2025,12pm - 2pm,,14707 Hillside Ave,Jamaica,NY,11435,Photos with Santa,
12/6/2025,4pm - 6pm,,75-14 Roosevelt Ave,Jackson Heights,NY,11372,Photos with Santa,
12/6/2025,12pm - 2pm,,126 Wyckoff Ave,Brooklyn,NY,11237,Photos with Santa,
12/6/2025,4pm - 6pm,,274 Wyckoff Ave,Brooklyn,NY,11237,Photos with Santa,
12/6/2025,12-2pm,,1707 Broadway,Brooklyn,NY,11207,Photos with Santa,
12/6/2025,4p - 6p,,76 S Main St,Freeport,NY,11520,Photos with Santa,
12/7/2025,12pm - 2pm,,4916 Church Ave,Brooklyn,NY,11203,Photos with Santa,
12/7/2025,4pm - 6pm,,939 Flatbush Ave,Brooklyn,NY,11226,Photos with Santa,
12/7/2025,12pm - 2pm,,1881a Rockaway Pkwy,Brooklyn,NY,11236,Photos with Santa,
12/7/2025,4pm - 6pm,,67-18 Fresh Pond Rd,Ridgewood,NY,11385,Photos with Santa,
12/7/2025,12pm - 2pm,,2007 Flatbush Ave,Brooklyn,NY,11234,Photos with Santa,
12/7/2025,4pm - 6pm,,602 Brighton Beach Ave,Brooklyn,NY,11235,Photos with Santa,
12/7/2025,12pm - 2pm,,507b E 163rd St,Bronx,NY,10451,Photos with Santa,
12/7/2025,4pm-6pm,,125 E Burnside Ave,Bronx,NY,10453,Photos with Santa,
12/13/2025,12pm - 2pm,,364 21st Ave,Paterson,NJ,7501,Photos with Santa,
12/13/2025,4pm - 6pm,,331 Kearny Ave,Kearny,NJ,7032,Photos with Santa,
12/13/2025,12pm - 2pm,,8610 Roosevelt Ave,Jackson Heights,NY,11372,Photos with Santa,
12/13/2025,4pm - 6pm,,2513 Broadway,Astoria,NY,11106,Photos with Santa,
12/13/2025,12pm - 2pm,,542 W 207 St,New York,NY,10034,Photos with Santa,
12/13/2025,4pm - 6pm,,3341 Broadway,New York,NY,10031,Photos with Santa,
12/13/2025,12pm - 2pm,,11304 Liberty Ave,S Richmond Hl,NY,11419,Photos with Santa,
12/13/2025,4pm-6pm,,8624 Rockaway Beach Blvd,Far Rockaway,Ny,11693,Photos with Santa,
12/14/2025,12pm-2pm,,1733 University Ave,Bronx,NY,10453,Photos with Santa,
12/14/2025,4pm-6pm,,15 W Burnside Ave,Bronx,NY,10453,Photos with Santa,
12/14/2025,12pm-2pm,,474 Hempstead Tpke,Elmont,NY,11003,Photos with Santa,
12/14/2025,4pm - 6pm,,133 Fulton Ave,Hempstead,NY,11550,Photos with Santa,
12/14/2025,12pm - 2pm,,2395 Westchester Ave,Bronx,NY,10461,Photos with Santa,
12/14/2025,4pm - 6pm,,1350 E Gun Hill Rd,Bronx,NY,10469,Photos with Santa,
12/14/2025,12pm - 2pm,,46 Gramatan Ave,Mount Vernon,NY,10550,Photos with Santa,
12/14/2025,4pm - 6pm,,415a S Broadway,Yonkers,NY,10705,Photos with Santa,
12/20/2025,12pm - 2pm,,153 Ferry St,Newark,NJ,7105,Photos with Santa,
12/20/2025,4pm - 6pm,,5723 Bergenline Ave,West New York,NJ,7093,Photos with Santa,
12/20/2025,12pm - 2pm,,97 Mamaroneck Ave,White Plains,NY,10601,Photos with Santa,
12/20/2025,4pm - 6pm,,39 S Main St,Spring Valley,NY,10977,Photos with Santa,
12/20/2025,12pm - 2pm,,200 Dyckman St,New York,NY,10040,Photos with Santa,
12/20/2025,4pm - 6pm,,1275 Saint Nicholas Ave,New York,NY,10033,Photos with Santa,
12/20/2025,12pm - 2pm,,96-03 Liberty Ave,Jamaica,NY,11417,Photos with Santa,
12/20/2025,4pm - 6pm,,10401 Liberty Ave,Jamaica,NY,11417,Photos with Santa,
12/21/2025,12pm - 2pm,,105 Clinton St,New York,NY,10002,Photos with Santa,
12/21/2025,4pm - 6pm,,1656 Broadway,New York,NY,10019,Photos with Santa,
12/21/2025,12pm - 2pm,,749 Suffolk Ave,Brentwood,NY,,Photos with Santa,
12/21/2025,4pm - 6pm,,122 Heyward St,Brentwood,NY,,Photos with Santa,
12/21/2025,12pm-2pm,,251 Port Richmond Ave,Staten Island,NY,10302,Photos with Santa,
12/21/2025,4pm - 6pm,,47 Broad Street,Elizabeth,NJ,7201,Photos with Santa,
,,,,,,,,
Nov 28 - Dec 14,,,694 Main Ave,Passaic,NJ,7055,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,136 Main St,Paterson,NJ,7505,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,14707 Hillside Ave,Jamaica,NY,11435,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,75-14 Roosevelt Ave,Jackson Heights,NY,11372,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,126 Wyckoff Ave,Brooklyn,NY,11237,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,274 Wyckoff Ave,Brooklyn,NY,11237,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1707 Broadway,Brooklyn,NY,11207,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,76 S Main St,Freeport,NY,11520,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,939 Flatbush Ave,Brooklyn,NY,11226,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1881a Rockaway Pkwy,Brooklyn,NY,11236,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,67-18 Fresh Pond Rd,Ridgewood,NY,11385,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,2007 Flatbush Ave,Brooklyn,NY,11234,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,602 Brighton Beach Ave,Brooklyn,NY,11235,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,507b E 163rd St,Bronx,NY,10451,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,125 E Burnside Ave,Bronx,NY,10453,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,364 21st Ave,Paterson,NJ,7501,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,331 Kearny Ave,Kearny,NJ,7032,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,8610 Roosevelt Ave,Jackson Heights,NY,11372,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,2513 Broadway,Astoria,NY,11106,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,542 W 207 St,New York,NY,10034,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,3341 Broadway,New York,NY,10031,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,11304 Liberty Ave,S Richmond Hl,NY,11419,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,8624 Rockaway Beach Blvd,Far Rockaway,Ny,11693,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1733 University Ave,Bronx,NY,10453,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,15 W Burnside Ave,Bronx,NY,10453,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,474 Hempstead Tpke,Elmont,NY,11003,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,133 Fulton Ave,Hempstead,NY,11550,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,2395 Westchester Ave,Bronx,NY,10461,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1350 E Gun Hill Rd,Bronx,NY,10469,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,46 Gramatan Ave,Mount Vernon,NY,10550,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,415a S Broadway,Yonkers,NY,10705,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,153 Ferry St,Newark,NJ,7105,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,5723 Bergenline Ave,West New York,NJ,7093,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,97 Mamaroneck Ave,White Plains,NY,10601,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,39 S Main St,Spring Valley,NY,10977,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,200 Dyckman St,New York,NY,10040,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1275 Saint Nicholas Ave,New York,NY,10033,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,96-03 Liberty Ave,Jamaica,NY,11417,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,10401 Liberty Ave,Jamaica,NY,11417,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,105 Clinton St,New York,NY,10002,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,1656 Broadway,New York,NY,10019,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,749 Suffolk Ave,Brentwood,NY,,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,122 Heyward St,Brentwood,NY,,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,251 Port Richmond Ave,Staten Island,NY,10302,Exclusive Saving - Limited-time Offer,
Nov 28 - Dec 14,,,47 Broad Street,Elizabeth,NJ,7201,Exclusive Saving - Limited-time Offer,
,,,,,,,,
12/1/2025,3pm - 6pm,,Grand Concourse & Bedford Park,Bronx,NY,10468,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Grand Concourse & Fordham Road,Bronx,NY,10468,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Burnside Avenue & Jerome Avenue,Bronx,NY,10453,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Grand Concourse & 167 Street,Bronx,NY,10452,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Broadway & 207th Street,Manhattan,NY,10034,Free Transit Rides!,
12/1/2025,3pm - 6pm,,181 Street & St Nicholas,Manhattan,NY,10468,Free Transit Rides!,
12/1/2025,3pm - 6pm,,163 Street & Broadway,Manhattan,NY,10032,Free Transit Rides!,
12/1/2025,3pm - 6pm,,145 Street & Broadway,Manhattan,NY,10033,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Steinway Street & Broadway,Queens,NY,11103,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Junction Blvd & Roosevelt Avenue,Queens,NY,11368,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Flushing - Main St & Roosevelt Avenue,Queens,NY,11354,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Sutphin Blvd & Archer Avenue,Queens,NY,11435,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Nostrand Avenue & Fulton St,Brooklyn,NY,11216,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Dekalb Avenue & Wyckoff Avenue,Brooklyn,NY,11237,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Grand Street & Bushwick Avenue,Brooklyn,NY,11206,Free Transit Rides!,
12/1/2025,3pm - 6pm,,Flatbush Avenue - Brooklyn college,Brooklyn,NY,11210,Free Transit Rides!,
,,,,,,,,
12/3/2025,2pm - 5pm,,560 Remsem Avenue,Brooklyn,NY,11236,UFC Meet and Greet - Alex Pereira,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Chicago,,,,,,,,
10/24/2025,5p-7p,Chicago,200 S Neltnor Blvd,West Chicago,IL,60185,Halloween Event,
10/25/2025,12p-2p,Chicago,2317 S Cicero Ave,Cicero,IL,60804,Halloween Event,
10/25/2025,4p-6p,Chicago,5858 S Kedzie Ave,Chicago,IL,60629,Halloween Event,
10/31/2025,5p-7p,Chicago,3217 W 47th Pl,Chicago,IL,60632,Halloween Event,
10/31 - 11/16,NA,Chicago,2317 S. Cicero Ave.,Chicago,IL,60804,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,3966 W Grand Ave,Chicago,IL,60651,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,2414 West Cermak Road,Chicago,IL,60608,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,7961 S Cicero Ave,Chicago,IL,60652,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,200 S Neltnor Blvd,Chicago,IL,60185,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,5858 S Kedzie Ave,Chicago,IL,60629,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,3217 W 47th Pl,Chicago,IL,60632,Exclusive Saving - Limited-time Offer,
10/31 - 11/16,NA,Chicago,229 W Grand Ave,Chicago,IL,60632,Exclusive Saving - Limited-time Offer,
12/5/2025,5p-7p,Chicago,1276 E Dundee Rd,Palatine,IL,60074,Photos with Santa,
12/6/2025,12p-2p,Chicago,902 Bode Rd,Schaumburg,IL,60194,Photos with Santa,
12/6/2025,4p-6p,Chicago,2317 S Cicero Ave,Cicero,IL,60804,Photos with Santa,
12/12/2025,5p-7p,Chicago,4301 S Ashland Ave,Chicago,IL,60609,Photos with Santa,
12/13/2025,12p-2p,Chicago,7961 S Cicero Ave,Chicago,IL,60652,Photos with Santa,
12/13/2025,4p-6p,Chicago,5601 W Belmont Ave,Chicago,IL,60634,Photos with Santa,
12/19/2025,5p-7p,Chicago,4640-a W Diversey Ave,Chicago,IL,60639,Photos with Santa,
12/19/2025,5p-7p,Chicago,17663 Torrence Ave,Lansing,IL,60438,Photos with Santa,
12/20/2025,12p-2p,Chicago,639 W Lincoln Hwy,Chicago Heights,IL,60411,Photos with Santa,
12/20/2025,4p-6p,Chicago,4547 N Broadway Ave,Chicago,IL,60640,Photos with Santa,
12/20/2025,2p-4p,Chicago,3352 W 26th St,Chicago,IL,60623,Photos with Santa,
12/21/2025,1p-3p,Chicago,2819 W 55th St,Chicago,IL,60632,Photos with Santa,
12/23/2025,4p-6p,Chicago,5858 S Kedzie Ave,Chicago,IL,60629,Photos with Santa,
12/23/2025,4p-6p,Chicago,3217 W 47th Pl,Chicago,IL,60632,Photos with Santa,
12/24/2025,4p-6p,Chicago,3248 W Lawrence Ave,Chicago,IL,60625,Photos with Santa,
12/24/2025,4p-6p,Chicago,229 W Grand Ave,Bensenville,IL,60106,Photos with Santa,
,,,,,,,,
Florida,,,,,,,,
10/25/2025,3p-7p,Miami,Doral Downtown,Miami,FL,33166,Halloween Event,Completed
11/1/2025,12p-4p,Miami,1674 NW 17 Ave,Miami,FL,33125,Grand Opening-Powertalk,Completed
11/1/2025,3p-7p,Miami,Doral Downtown,Miami,FL,33166,Dia de Los Muertos,Completed
11/8/2025,9a-12p,Miami,Weston YMCA - 20201 Saddle Club Rd,Weston,FL,33327,Veterans YMCA,Completed
11/22/2025,4p - 7p,Miami,1313 W 49th St # 2,Hialeah,FL,33012,Holiday Care,
11/29/2025,4p - 7p,Miami,3965 N Federal Hwy,Pompano Beach,FL,33064,Spreading Holiday,
12/6/2025,4p - 7p,Miami,117 SE 8th Dr,Okeechobee,FL,34974,Photo with Santa,
12/13/2025,4p - 7p,Miami,6337 Stirling Rd,Davie,FL,33314,Photo with Santa,
12/20/2025,4p - 7p,Miami,15912 SW 137th Ave,Miami,FL,33177,Photo with Santa,
,,,,,,,,
Texas,,,,,,,,
11/1/2025 - 11/2/2025,4p-7p,Houston,1000 Bagby St (Sam Houston Park),Houston,TX,77002,Dia de Los Muertos,
11/8/2025,10a-6p,San Antonio,Civic Park (210 S Alamo Street),San Antonio,TX,78205,Veterans Day,
,,,,,,,,
CA,,,,,,,,
10/25/2025,12p-2p,Los Angeles,12843 Harbor Blvd,Garden Grove,CA,92840,Halloween Event,Completed
10/31/2025,5p-7p,Los Angeles,4000 La Rica Ave,Baldwin Park,CA,91706,Halloween Event,Completed
11/2/2025,3p-7p,Los Angeles,Gloria Molina Park (200 N Grand Ave),Los Angeles,CA,90012,Dia de Los Muertos,Completed
12/6/2025,12p-2p,Los Angeles,4149 Tweedy Blvd,South Gate,CA,90280,Photos w/Santa,
12/6/2025,4p-6p,Los Angeles,8116 Long Beach Blvd,South Gate,CA,90280,Photos w/Santa,
12/7/2025,12p-2p,Los Angeles,1730 E. 17th Street,Santa Ana,CA,92705,Photos w/Santa,
12/7/2025,4p-6p,Los Angeles,4447 Slauson Ave,Maywood,CA,90270,Photos w/Santa,
12/13/2025,12p-2p,Los Angeles,576 S. Mount Vernon Ave.,San Bernadino,CA,92410,Photos w/Santa,
12/13/2025,4p-6p,Los Angeles,10012 Sierra Ave,Fontana,CA,92335,Photos w/Santa,
12/14/2025,12p-2p,Los Angeles,"1788 University Ave, Ste 104",Riverside,CA,92507,Photos w/Santa,
12/14/2025,4p-6p,Los Angeles,1405 N. Citrus Ave,Covina,CA,91722,Photos w/Santa,
12/20/2025,12p-2p,Los Angeles,2530 S. San Pedro Street,Los Angeles,CA,90011,Photos w/Santa,
12/20/2025,4p-6p,Los Angeles,2238 E. Cesar E Chavez Ave,Los Angeles,CA,90033,Photos w/Santa,
12/21/2025,12p-2p,Los Angeles,4218 Beverly Blvd,Los Angeles,CA,90004,Photos w/Santa,
12/21/2025,4p-6p,Los Angeles,1500 E. Florence Ave,Los Angeles,CA,90001,Photos w/Santa,
TBD,TBD,Bakersfield,TBD,Bakersfield,CA,TBD,Photos w/Santa,
TBD,TBD,Bakersfield,TBD,Bakersfield,CA,TBD,Photos w/Santa,
TBD,TBD,San Diego,TBD,San Diego,CA,TBD,Photos w/Santa,
TBD,TBD,San Diego,TBD,San Diego,CA,TBD,Photos w/Santa,
